id,name,categories,lat,lng,address,tipcount,like_count,rating,ratingSignals
4dc4a65e18506de4adc5d5e5,Pragati,South Indian Restaurant,17.38808781,78.48113363,"Kandaswamy Lane, Sultan Bazaar, Koti Andhra Pradesh, India",15,38,8.3,55
4d401a6dde17a093daedf46b,Gokul Chat Center,Chaat Place,17.38471608,78.48315239,"4-5-158/4, Women's College Road, KOTI",20,47,7.3,70
4d3d4eca14aa8cfaa6d6b15e,Santosh Dhaba,Indian Restaurant,17.38848471,78.4795094,"Hanuman Tekdi Rd.",15,23,8.2,40
4df9c65c62e1e9a24367f9e5,King & Cardinal,Burger joint,17.40067831,78.48857489,"Himayatnagar",20,35,8.4,57
4cdd08d4fc973704fe47d905,Mayur Pan Shop,Juice Bar,17.38889398,78.48057796,"Hanuman Tekdi Rd",21,48,7.9,71
4e009da21838cb6a1acb225e,Minerva Coffee Shop,Indian Restaurant,17.40140987,78.4856719,"Himyathnagar",31,74,8.3,108
